LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE
2333810602,2330351702,2330351700,1,107,0,-,동탄대로,0,0,0,40,0,0,0,0,113.7958715,20230519
2333811504,2330351802,2330351801,1,107,0,-,동탄대로5길,0,0,0,40,0,0,0,0,145.4097384,20230519
2333125200,2330080100,2330077500,2,107,0,-,동탄반석로,0,0,0,60,0,0,0,0,358.699621,20230519
2333048100,2330086800,2330086500,1,107,0,-,동탄반송1길,0,0,0,30,0,0,0,0,32.98563506,20230519
2333624303,2330354300,2330281600,3,107,0,-,동탄순환대로,0,0,0,50,0,0,0,0,389.5554056,20230519
2333806300,2330349600,2330349900,2,107,0,-,동탄광역환승로,0,0,0,50,0,0,0,0,179.854877,20230519
2334004600,2330407500,2330407700,1,107,0,-,탄요1길,0,0,0,50,0,0,0,0,49.74558996,20230519
2333811600,2330352200,2330352100,1,107,0,-,영천로,0,0,0,40,0,0,0,0,183.5313537,20230519
2334232100,2330457300,2330456500,1,107,0,-,동탄기흥로247번길,0,0,0,30,0,0,0,0,92.12527839,20230519
2333852606,2330364403,2330364400,1,107,0,-,동탄대로24길,0,0,0,30,0,0,0,0,256.5708126,20230519
2333240400,2330094700,2330094100,1,107,0,-,동탄하나2길,0,0,0,40,0,0,0,0,26.61701204,20230519
2333991200,2330404100,2330402500,1,107,0,-,공원로3길,0,0,0,30,0,0,0,0,123.8124562,20230519
2333443100,2330208000,2330206800,4,105,3,84,동탄원천로,0,0,0,60,0,0,0,0,162.2422373,20230519
2333517903,2330238200,2330238206,3,107,0,-,동탄청계로,0,0,0,60,0,0,0,0,1073.641243,20230519
2333104302,2330320700,2330019700,2,105,0,84,동탄원천로,0,0,0,50,0,0,0,0,142.0638169,20230519
2334375101,2330528001,2330528101,2,101,0,400,수도권제2순환고속도로,1,0,0,100,0,0,0,0,238.6594972,20230519
2334066100,2330468600,2330467800,1,107,0,-,남여울2길,0,0,0,50,0,0,0,0,41.28238858,20230519
2333025900,2330073200,2330074200,1,107,0,-,동탄공원로1길,0,0,0,30,0,0,0,0,42.1954115,20230519
